,PO No.,PO Item No.,Incoterms Name,Material/Service No.,PO Item Description,Manufacturer Name,Vendor Name,Manufacturer Part No.,Long Description,PO Item Creation Date,PO Item Quantity,PO Item Quantity Unit,PO Item Value (GC),PO Item Value (GC) Unit,Product Category,Product Category Description,PO Status Name,Region,score,path,desc,desc_words_short,desc_words_long,base_index,Unit Price
797199,4301023477,1,Free Carrier,36500271167,"PLUG,SPARK",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,903316C1,"PLUG,SPARK: 7/8IN DIA,M18 X 1.5MM,CARBON STEEL IGNITOR,0.08 TO 0.1GAP,5/8IN-24 NEF-3,3.24IN LG,SUPPLY MEASURE: 2/PACK",2018-12-24,4.0,EA,313.76,USD,26101732,Spark plugs,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['PLUG', 'SPARK']","['PLUG', 'SPARK', '7', '8IN', 'DIA', 'M18', 'X', '1.5MM', 'CARBON', 'STEEL', 'IGNITOR', '0.08', 'TO', '0.1GAP', '5', '8IN', '24', 'NEF', '3', '3.24IN', 'LG', 'SUPPLY', 'MEASURE', '2', 'PACK']",797199,78.44
834619,4301123531,1,Free Carrier,36500271167,"PLUG,SPARK",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,903316C1,"PLUG,SPARK: 7/8IN DIA,M18 X 1.5MM,CARBON STEEL IGNITOR,0.08 TO 0.1GAP,5/8IN-24 NEF-3,3.24IN LG,SUPPLY MEASURE: 2/PACK",2019-09-25,1.0,PH,169.84,USD,26101732,Spark plugs,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['PLUG', 'SPARK']","['PLUG', 'SPARK', '7', '8IN', 'DIA', 'M18', 'X', '1.5MM', 'CARBON', 'STEEL', 'IGNITOR', '0.08', 'TO', '0.1GAP', '5', '8IN', '24', 'NEF', '3', '3.24IN', 'LG', 'SUPPLY', 'MEASURE', '2', 'PACK']",834619,169.84
694386,4300708940,2,From plant,36500271167,"PLUG,SPARK:23.8MM",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,903316C1,"PLUG,SPARK",2016-11-21,2.0,EA,149.98,USD,26101732,Spark plugs,Transaction Completed,AGT,0.9,[2.1.1],m_p,"['PLUG', 'SPARK', '23.8MM']","['PLUG', 'SPARK']",694386,74.99
701544,4300732337,2,From plant,36500271167,"PLUG,SPARK:23.8MM",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,903316C1,"PLUG,SPARK",2017-10-04,8.0,EA,599.84,USD,26101732,Spark plugs,Ordered,AGT,0.9,[2.1.1],m_p,"['PLUG', 'SPARK', '23.8MM']","['PLUG', 'SPARK']",701544,74.98
722947,4300791783,1,From plant,36500271167,"PLUG,SPARK:23.8MM",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,903316C1,"PLUG,SPARK",2017-06-08,2.0,EA,149.98,USD,26101732,Spark plugs,Transaction Completed,AGT,0.9,[2.1.1],m_p,"['PLUG', 'SPARK', '23.8MM']","['PLUG', 'SPARK']",722947,74.99
770219,4300941537,1,Free Carrier,36500271167,"PLUG,SPARK:23.8MM",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,903316C1,"PLUG,SPARK",2018-05-22,4.0,EA,313.76,USD,26101732,Spark plugs,Transaction Completed,AGT,0.9,[2.1.1],m_p,"['PLUG', 'SPARK', '23.8MM']","['PLUG', 'SPARK']",770219,78.44
811827,4301063416,7,Free Carrier,36500271167,"PLUG,SPARK:23.8MM",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,903316C1,"PLUG,SPARK",2019-04-11,31.0,EA,5257.6,USD,26101732,Spark plugs,Ordered,AGT,0.9,[2.1.1],m_p,"['PLUG', 'SPARK', '23.8MM']","['PLUG', 'SPARK']",811827,169.60000000000002
848514,4301160124,1,Free Carrier,36500271167,"PLUG,SPARK:23.8MM,CS,F/ FLASHLIGHT IGNIT",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,903316C1,"PLUG,SPARK",2020-01-23,1.0,EA,169.84,USD,26101732,Spark plugs,Transaction Completed,AGT,0.9,[2.1.1],m_p,"['PLUG', 'SPARK', '23.8MM', 'CS', 'F', 'FLASHLIGHT', 'IGNIT']","['PLUG', 'SPARK']",848514,169.84
858250,4301187110,1,Free Carrier,36500271167,"PLUG,SPARK:23.8MM,CS,F/ FLASHLIGHT IGNIT",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,903316C1,"PLUG,SPARK",2020-04-21,17.0,EA,2918.22,USD,26101732,Spark plugs,Ordered,AGT,0.9,[2.1.1],m_p,"['PLUG', 'SPARK', '23.8MM', 'CS', 'F', 'FLASHLIGHT', 'IGNIT']","['PLUG', 'SPARK']",858250,171.66
858300,4301187432,1,Free Carrier,36500271167,"PLUG,SPARK:23.8MM,CS,F/ FLASHLIGHT IGNIT",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,903316C1,"PLUG,SPARK",2020-04-22,4.0,EA,686.64,USD,26101732,Spark plugs,Ordered,AGT,0.9,[2.1.1],m_p,"['PLUG', 'SPARK', '23.8MM', 'CS', 'F', 'FLASHLIGHT', 'IGNIT']","['PLUG', 'SPARK']",858300,171.66
858356,4301187674,1,Free Carrier,36500271167,"PLUG,SPARK:23.8MM,CS,F/ FLASHLIGHT IGNIT",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,903316C1,"PLUG,SPARK",2020-04-23,4.0,EA,679.36,USD,26101732,Spark plugs,Ordered,AGT,0.9,[2.1.1],m_p,"['PLUG', 'SPARK', '23.8MM', 'CS', 'F', 'FLASHLIGHT', 'IGNIT']","['PLUG', 'SPARK']",858356,169.84
863332,4301202113,1,Free Carrier,36500271167,"PLUG,SPARK:23.8MM,CS,F/ FLASHLIGHT IGNIT",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,903316C1,"PLUG,SPARK",2020-06-24,2.0,EA,343.32,USD,26101732,Spark plugs,Ordered,AGT,0.9,[2.1.1],m_p,"['PLUG', 'SPARK', '23.8MM', 'CS', 'F', 'FLASHLIGHT', 'IGNIT']","['PLUG', 'SPARK']",863332,171.66
866251,4301210067,1,Free Carrier,36500271167,"PLUG,SPARK:23.8MM DIA,MATERIAL: CARBON S",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,903316C1,"PLUG,SPARK",2020-08-06,1.0,EA,171.66,USD,26101732,Spark plugs,Ordered,AGT,0.9,[2.1.1],m_p,"['PLUG', 'SPARK', '23.8MM', 'DIA', 'MATERIAL', 'CARBON', 'S']","['PLUG', 'SPARK']",866251,171.66
874749,4301233125,7,Free Carrier,36500271167,"PLUG,SPARK:23.8MM DIA,MATERIAL: CARBON S",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,903316C1,"PLUG,SPARK",2020-12-24,1.0,PH,171.66,USD,26101732,Spark plugs,Ordered,AGT,0.9,[2.1.1],m_p,"['PLUG', 'SPARK', '23.8MM', 'DIA', 'MATERIAL', 'CARBON', 'S']","['PLUG', 'SPARK']",874749,171.66
877230,4301238324,1,Free Carrier,36500271167,"PLUG,SPARK:23.8MM DIA,MATERIAL: CARBON S",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,903316C1,"PLUG,SPARK",2021-01-28,1.0,PH,171.66,USD,26101732,Spark plugs,Ordered,AGT,0.9,[2.1.1],m_p,"['PLUG', 'SPARK', '23.8MM', 'DIA', 'MATERIAL', 'CARBON', 'S']","['PLUG', 'SPARK']",877230,171.66
878037,4301239190,1,Free Carrier,36500271167,"PLUG,SPARK:23.8MM DIA,MATERIAL: CARBON S",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,903316C1,"PLUG,SPARK",2021-02-02,4.0,EA,734.0,USD,26101732,Spark plugs,Ordered,AGT,0.9,[2.1.1],m_p,"['PLUG', 'SPARK', '23.8MM', 'DIA', 'MATERIAL', 'CARBON', 'S']","['PLUG', 'SPARK']",878037,183.5
878066,4301239312,1,Free Carrier,36500271167,"PLUG,SPARK:23.8MM DIA,MATERIAL: CARBON S",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,903316C1,"PLUG,SPARK",2021-02-03,3.0,EA,514.98,USD,26101732,Spark plugs,Ordered,AGT,0.9,[2.1.1],m_p,"['PLUG', 'SPARK', '23.8MM', 'DIA', 'MATERIAL', 'CARBON', 'S']","['PLUG', 'SPARK']",878066,171.66
