BP Material / Service Master No.,Supplier Part No. / Reference,BP Short Description,BP Long Description,Supplier Description,Manufacturer Name,Manufacturer Part Number,UOM,Last Price,Description,Price Valid From,Price Valid to,Incoterms Key,2021 rates
,11105666,"MOLUB ALLOY 777-2ES,TUBE OF 400GR","MOLUB ALLOY 777-2ES,TUBE OF 400GR","MOLUB ALLOY 777-2ES,TUBE OF 400GR",CASTROL,,EA,19,"['MOLUB', 'ALLOY', '777-2ES', 'TUBE', 'OF', '400GR']",11/20/2017,10/13/2021,DDP,19
,11105667,MOLUB ALLOY 936 SF HEAVY PAIL OF 18KG,MOLUB ALLOY 936 SF HEAVY PAIL OF 18KG,MOLUB ALLOY 936 SF HEAVY PAIL OF 18KG,CASTROL,,EA,495,"['MOLUB', 'ALLOY', '936', 'SF', 'HEAVY', 'PAIL', 'OF', '18KG']",11/20/2017,10/13/2021,DDP,515
,11105668,"MOLUB ALLOY 777-2ES,TUBE OF 400GR","MOLUB ALLOY 777-2ES,TUBE OF 400GR","MOLUB ALLOY 777-2ES,TUBE OF 400GR",CASTROL,,EA,19,"['MOLUB', 'ALLOY', '777-2ES', 'TUBE', 'OF', '400GR']",11/20/2017,10/13/2021,DDP,25
,11105669,MOLUB ALLOY 936 SF HEAVY PAIL OF 18KG,MOLUB ALLOY 936 SF HEAVY PAIL OF 18KG,MOLUB ALLOY 936 SF HEAVY PAIL OF 18KG,CASTROL,,EA,495,"['MOLUB', 'ALLOY', '936', 'SF', 'HEAVY', 'PAIL', 'OF', '18KG']",11/20/2017,10/13/2021,DDP,515
,11105670,"TURBONYCOIL 600,DRUM OF 208L","TURBONYCOIL 600,DRUM OF 208L","TURBONYCOIL 600,DRUM OF 208L",CASTROL,TN600-1E19,EA,3150,"['TURBONYCOIL', '600', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,DDP,3780
,11105671,"CASTROL AGT- STD,DRUM OF 208L","CASTROL AGT- STD,DRUM OF 208L","CASTROL AGT- STD,DRUM OF 208L",CASTROL,15CADB,EA,3515,"['CASTROL', 'AGT-', 'STD', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,DDP,3866
,11105672,CASTROL BRAYCO MICRONIC LV3 HYDRAULIC FL,"CASTROL BRAYCO MICRONIC LV3 HYDRAULIC FLUID,DRUM OF 208L","CASTROL BRAYCO MICRONIC LV3 HYDRAULIC FLUID,DRUM OF 208L",CASTROL,155EF6,EA,6236,"['CASTROL', 'BRAYCO', 'MICRONIC', 'LV3', 'HYDRAULIC', 'FL']",11/20/2017,10/13/2021,DDP,7171
,11105673,"TURBONYCOIL 600,DRUM OF 208L","TURBONYCOIL 600,DRUM OF 208L","TURBONYCOIL 600,DRUM OF 208L",CASTROL,TN600-1E19,EA,3150,"['TURBONYCOIL', '600', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,DDP,3780
,11105674,"CASTROL AGT- STD,DRUM OF 208L","CASTROL AGT- STD,DRUM OF 208L","CASTROL AGT- STD,DRUM OF 208L",CASTROL,15CADB,EA,3515,"['CASTROL', 'AGT-', 'STD', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,DDP,3866
,11105675,CASTROL BRAYCO MICRONIC LV3 HYDRAULIC FL,"CASTROL BRAYCO MICRONIC LV3 HYDRAULIC FLUID,DRUM OF 208L","CASTROL BRAYCO MICRONIC LV3 HYDRAULIC FLUID,DRUM OF 208L",CASTROL,155EF6,EA,6236,"['CASTROL', 'BRAYCO', 'MICRONIC', 'LV3', 'HYDRAULIC', 'FL']",11/20/2017,10/13/2021,DDP,7171
,80101500,BUSINESS AND CORPORATE MANAGEMENT CONSUL,BUSINESS AND CORPORATE MANAGEMENT CONSULTATION SERVICES,BUSINESS AND CORPORATE MANAGEMENT CONSULTATION SERVICES,,,,0,"['BUSINESS', 'AND', 'CORPORATE', 'MANAGEMENT', 'CONSUL']",11/20/2017,10/13/2021,,-1
,15121501,ENGINE OIL,ENGINE OIL,ENGINE OIL,,,,0,"['ENGINE', 'OIL']",11/20/2017,10/13/2021,,-1
,25174004,ENGINE COOLANT,ENGINE COOLANT,ENGINE COOLANT,,,,0,"['ENGINE', 'COOLANT']",11/20/2017,10/13/2021,,-1
,12181600,OILS,OILS,OILS,,,,0,['OILS'],11/20/2017,10/13/2021,,-1
