Material ID,BUn,AUn,Counter,Denom.
36052184,EA,PR,1,1
36052185,EA,PR,1,1
36052186,EA,PR,1,1
36052187,EA,PR,1,1
36052188,EA,PR,1,1
36052189,EA,PR,1,1
36052190,EA,PR,1,1
36052191,EA,PR,1,1
36052192,EA,PR,1,1
36052193,EA,PR,1,1
36053346,EA,M,1,1
36053503,EA,BX,1000,1
36053511,EA,BX,1000,1
36054073,EA,PAC,10,1
36054108,EA,PZ,12,1
36055925,EA,PAC,50,1
36056076,EA,TB,100,1
36057448,EA,PAC,10,1
36058528,EA,BX,500,1
36058529,EA,BX,1,500
36059401,EA,PAC,20,1
36060390,EA,PAC,5,1
36070439,EA,PAC,60,1
36073326,EA,PAC,100,1
36073886,EA,PAC,100,1
36073910,EA,PAC,250,1
36073983,EA,PAC,250,1
36074249,EA,BX,1,1
36090531,EA,M,1,1
36090631,EA,PAC,1,1
36091101,EA,M,1,20
36091295,EA,M,1,1
36091297,EA,M,1,1
36091416,EA,M,1,1
36094851,EA,SET,5,1
36094946,EA,PAC,15,1
36100281,EA,PAC,100,1
36100382,EA,PAC,100,1
36100383,EA,PAC,100,1
36101296,EA,SET,2,1
36101301,EA,SET,3,1
36101302,EA,SET,3,1
36101303,EA,SET,3,1
36101392,EA,SET,2,1
36102963,EA,FT,1,1
36104729,EA,PAC,1,1
36105167,EA,SET,88,1
36105327,EA,M,1,20
36105528,EA,SET,104,1
36105561,EA,FT,1,1
36105617,EA,PAC,50,1
36105618,EA,PAC,100,1
36105683,EA,SET,1,1
36105800,EA,M,1,1
36106295,EA,M,1,1
36106857,EA,M,1,1
36106860,EA,M,1,1
36107767,EA,ROL,50,1
36108111,EA,M,1,1
36108898,EA,PAC,100,1
36109305,EA,SET,2,1
36109316,EA,SET,3,1
36109317,EA,SET,3,1
36109318,EA,SET,3,1
36109319,EA,SET,3,1
36113162,EA,FT,1,1
36113857,EA,FT,1,1
36113858,EA,FT,1,1
36115268,EA,SET,88,1
36117505,EA,SET,3,1
36119128,EA,KIT,24,1
36120306,EA,DR,1,1
36120684,EA,M,1,1
40013144,M,RE,100,1
40023030,EA,LN,1,1
36500271167,EA,PAC,2,1
36500787571,EA,PAC,8,1
